query_id,answer
70DfDUpwjxB4lzFd,355392014208b7bf b92ee8f432cec2d1 6047e1566a959d3a e5a240b2eaca4e11 6042fecdd7753112 fa01652ca5f57d0f 14d535285758af89 deb58d7ad8c27d06 255fbeaf526a1cc1 acc6e16fea8628b0 73ba3172bc67d2dd f4e8903d7689e222 fa4ba2c2cf71b0b1 33f8d361a92bdcde bbfd9a8c71d3bd2b 82ddaf2c54ef884a 9515d1e1ecdac72c 603623b4bd9e8f6c 6fc4db453f873556 cf0b70d14b674f8b 4332513c8fe7e1c9 56157887d3ddab2a 3b5ada3ffcacbbf3 95571e85156ba0fe 4494aa11cbdc2d65 c04be97528001251 4f96718256e225e4 2d73dacac243ce62 d722bcda1a555091 a1df0525799ab4b5 94c5ec723ea5418f 638349a35daca252 bee602308dd4d4b3 d4ebb123b83921c3 198c47117b3869da d7ad9f91504e4d02 616137eeb40fbedc 0a32e88bbfb35c29 6dfa83ed47d5bd10 d01e14d2ffd4ddba 347f89be8087d8c7 1308d41ffd1cc3a6 7381aa4b4050d789 d15745c74b29ff6a f78d7058e1d906eb fe7d3dc9d1481dde 500f27848ff77d33 4c5de54dcb9ddd51 585d85c2bbec8c0a fe18d6ee0f9c019c
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 cbeccbecb1fb8d86 367af128a9ea2a48 1c6d2079e07f4497 47b2ed1012de011a f46f68aaa4d7de38 396da9dc8f95a5b4 427a0a8bda5b9679 01fbbfc288257fca dfa239d031b11832 1344796085e92421 35a0a88ef8547de9 75be1179c1cf9418 73ab3b0d708ea15e 14fbc6d1a2f9f588 431efbc80d59155f 19165fefac3dce47 c5110c8ce7bc03db 1a1f3efb845a2473 efde386fb8c4f385 cacca72b31f50e71 7e18adf210484046 9227619964c97cd4 58616767e88c583f e9cebe597677e8c6 bfe712cb2e8abded 56415c6efe9263d3 88931c4cd463d124 f50963ef7dda3d19 0529307cdfbe4a15 d73d2694b62a903f 664665688c35c1d0 5cc5ebbee2455db0 a1d20685ee4a2b4c bafe6304f743b5fb 3a5fcb870e078d7e 16ea26ff0aa0450a e08d374366a8ebfb d801e3070fd322ff 6d1e34faf020045c 0739b276b4e6e142 76f6173834974c44 fe05abde296f8e90 0ecca189a4823554 1440ffbe4863b68d 924eeb5f60acf384 cf7cf3f80dbeeb5a 4a435cc0a254c1fd f4f529d7f72dcb22 d2eb37d7d561f9af
LZCZNoVG4AFUkVRJ,3b370cc603f67947 dab52187b4500d9b d8fce513e4f000a7 3f89b8062dc85f1c edecb3695ab88901 10eb6d6da3230bbb 168a9207e80b0be4 c5d21c0e8c1cdb2d c1abf382ab9a79dd d62074dd39caefee 005a523a0efbc62b a9840be7d8930cd1 d8b9d06b50158c04 5c3ee000a94c97a4 597e24ccf265b201 ffa57569baf9bf6e 0b1c884e6c242ea7 35a357d7a0777087 965d4e5fe7062419 6c311e61cde9bac2 f687490eb8b38367 974b459d83fc73c2 a461751752fcbf14 53fc0e81b65d6289 65f998d38467560a c6e4d72fbdddb0c2 d8e11672a3a3b1db 7347ccc4bdcfde01 4bd538bf77bc4e08 f03a082e6a709bf3 33757d777da644a0 be827d807fb7e17c f15206e5d1387bcc 0a2a312988225650 3b55d761d507da7e 7f32ccc9e705360d d69aa82a671914c3 7a731640393c1945 0c82dcb07c43fbc5 ea5ae87445c6055a 163870653696288c c95e1f08a7de9f5e ab1a2e6b18e6d75a 2745b4bcbdb485c7 bc5cfc9ad5b36256 ea4628ed1f8d1464 cf1c82b73edc9e6d 504d4dfa810af44c 6151abe63cdd1d04 3a33c8df4eb86a0f
660ac9QVtXkRxZC3,af91ec4a29b66636 3cce43c811459438 67b2cd847669eb36 bd2cb4500fad728e a846a2a5241e1180 4c15e7abba063ac5 e42795fcb72962a5 4816fc8b40866f56 5b8181f009aea80e 1e5924dc546b82c1 0ccc2d9667763ea3 da18e5119a944f0b 2babc4b2f86c9376 3e76e71f9e7867a5 62be8c7f2a81aa9b 014a4ef0086ffd16 681fe2d7682200f6 451bdb7494d19e87 134c28fb359a5712 aeef48c7e48ae24c a43b6fd91d211759 3b781361d56cf997 416c96657102211c db04fd609245f490 8925c1ae30327290 1a4d8bce3afd1b56 b8f9bfae96987bda 69d46fdd81d8231e 52bb41bec8c09542 976b75fa962b2756 671d93f74ef80e02 5122cfc74ec76a5a cb79c218e9550c22 efd1cc78ffcb3b79 fde6e017db60d8cd bbdb1c31ea8774ef 9d90773c525642b7 143b54aa79f316be 1600c323106db694 b58da859ade720f9 ac4aa62c993d83b4 51409ffa9e6aca86 0e48ad12ec6599b1 d42b0cb96a5e7e0b be70c36e4ea38458 2af099c2435c9c6f 6f0bc83ed22cefc1 7f0e79d19cfd6afe 14eee0fbc506b525 d190c306fcf8734d
YgHcM9MVbxKnxD1e,1a62634394544781 13f58fe9542bdb1a 60e3b99111bd032b 53f9c8caeeb8111e ba78ad593ec3412d b8603925d28a8c99 9c41fe789f98d702 5008e2463b0c0526 615c73ea4c3bfd15 94cce9ac398a8f4a 33539f478a2ca02a 4ef5ba70fa9baaef 0c8a36e283d43f46 407e6f8c8891a01f 0f2830cc25924065 c15a07821acfd1de 9502b74b2d61c50e 38f7cea86e2064f1 442b0ab445da8fa8 3522ccc98c60efd8 e88641d6dcf18b42 c872da167e910435 2811287ccd261c09 49c9037c696e8925 f84e2e12043c211c 1f1da5d8632ab8c2 f6e8862b5885abb5 fb0bf6077c59c5a2 338b00282cb62a9e eb0f872be57f5c59 b958f0b79f8e0d8d 0e9ed42de7e3e879 bd12d7bcc12519b9 22fbd0f00d32c274 1736ea24d6cd586f 980b2961f059d52b 23bc4a9372c16c12 c539e0661217b8eb d201edf373168f24 b44568397fb866b6 0ee32cdd3c68fefe 39e233e8ae81b948 cbbea031d5214922 6f76aa14355a5f44 2c773e88aae06b5b 226293e680f6726b f5eda053bd6a1b4f 940caca6051922cc bcc1cd1d0d27167e f65e19416c15b1d8
Fn8uGfYsaUS86ak6,e3f278c4400772bd c6ddc1fc25886253 efd1cbb4bff99da8 1ebd6968953200ee b9982354b0f9b488 44853116720cebf8 5fd350394c4e65a1 1a0fd0229092f93a 6a254eaa5e3cbcaf 5d6fc47a7f0e1abe 38d86757951c36dc e4d73ff84d102409 67046e3c5492df3e f6248730c66364a5 6acdbf2dba17b143 d384b46b93bf53b4 8ff32856b99b223a a3f003d075e3dd83 98d326ba81fe3f24 61857fa438e615aa 9d80c5569bb55f4d 9328083d57dc2ecb 017bb20f4533c6f4 f9a1d76720a2fd92 1b57e78ed4d89c93 04b3c9d52d80b499 8e89c37ccf03e9ad cec2129b96de2003 6f62d35257e7a261 8ed055fba8c69bea 470c9b814c5f01db 5a3a241e8b4685ea 138ebf716562699c a5b439f86471cead 282c376762a9bce8 1fbe566c17c1c988 4782f6ce1955c834 4030be553978c72e f561c13076e6bf30 77591840de7e9360 8432cbbd3d674829 ef50c253de4b7247 86ed21b72a45fe76 55b42f2a9d801f9f 1ddbc4e38fa8e39e c6cf77c8b0ec63f9 f3772bb5b115fd55 6640f15af2bda08f 6b860f38b8980d2d e4f46fcd4a67837f
u4hftjenWqHZoMep,b0896578a785ce44 bfc4346cd7fe091f 6159d0a9012f6b13 f7ed83d74c968bd4 57dc728ccb851c30 1a3daa8815cbd80e 144d5e7f963f9a97 c9021873c1f2511b 4ecfd12428c444fa 83b88c758270dcfe 0cfabc56b1cd4816 7ad464454b711615 7ab3158075b21fb5 4ed8df21d84d4a06 e45c6c6c7afe87d6 24370b8d2003ebfc 7a60e1d73f70774c d0a1eeeb46bda2ef 118e63c31106f1bf 5dacf594473fe363 bd66d2fbc4a94e48 3fe3cfbf10720ad6 ee1fefdbbe3b7112 4638da6d64063c3a 25fa4c1bd5b509ac aedfffed94c3a134 1c90b2e7c7e35d94 5ffc4c0899a8903d c5314e8fdfbf5b0b a6701cb128fe8ebb 71afe91759fa58b4 dfb331f8319d14c0 9f338b23aa1b5f26 c13b880292455ad1 a675e248f712dc73 443a7760020d2f58 6f2185599cc623f9 15fe3524414f4784 8449561836ba936c 06ec7e8b38e7a70d c0d9397007d61719 d237fac5a6cb9f5b 653eb284efa97aae eff391190874d2d9 e1ea0056989466b1 7e463077b134914b 6c04beeb3a865021 b6ec3aefcc074f72 2949096c10453328 71a7af70f8c42d25
2Ysms04CH0JxFR7M,376b59a44a9b7fde d7383729fe99b54f 27514aceb5aeb5b4 2ec74c681dda0a47 831141431ca6022b 9b746cef1e3ebe28 1a4ad9abea6976bf fa0facc1035123dc 0749b0eac68ddfa2 48fb9b26f3ab9085 cd8a55e63e6ab416 ff14cbd8d906719a e27b8a70862f28a9 c57e284d60a66f9b 7cd161f77b76b004 4eab8b78558b6cb7 9e6898aa5a012ad4 d88cf31055f8f2f9 a1ce355c874ba851 d39a335d58289043 d765d8511e57bd2d ba854086d29b49b8 4e2cb3c6fe0f1376 e3f2e9efeb9d1b5a 866937840b197999 d6161215ffaba51b d1254ee38f8a30e6 c367d367efd7e4bf 2021792912211cc8 1d3eb18e863c9dbf f4bc1d7e5f5c5d38 af875b8598f2f28f 4ab5d95e3dbd0660 9972a497c9dcd441 c4b44fa04e075c00 8d851f33231a1d3c 1d0112e0a749a7fd 7cd8ce86b84060e7 6c61fea7ea64a029 e220f37c79e53b5d 8ac32534fc520f3c c6ddf5435b718fad 1691051d3683b01c 217659951ac51ef7 506ac05aea4d3cfa 86703f825c04f596 d8f086e366695a07 37954d5f3cd76bb0 6a87ca251d104b6c 2cc003480cc133e1
C87NmbDEECz55BdJ,8d368cec78617ab7 24f65a1ed155d3f6 d5481806b6e8dfde 985dc437fea08791 47d69ab911f7e876 d93f9fd25c34020e 60da3b17af6c67c6 8e27e0145ab2d9ee 1210ead0ad9cacdf 7c1fd27bf3023a09 503fa42b3135b07a d53ed1b5ee04124b c110cd29cc7b359f 312eb6d5e3c97fe5 639d85039afd302d 5bee8aed3480d143 9f69c8903ff81799 0489ab346368fb43 deb926c50529931b e0f567b0b56f901d a317a15b20ded8b5 a2fe5220900a341a 77b7b1e4713c0a38 325cb0e9cc186e77 17d852af377fc179 94c4ccd762aae19f 86de71c66dd2773e 3482673a7d6aceca c91e07de79c2df3a 772bdac5eb711ff6 03d74f1e16c5cb36 933c563c0b97b294 7d3079ea89ea3327 58c8bb4cda560a90 5afbf6db81762374 c143762ac93699b4 42b32e2a4f2e1a0a 104da90f582eb10b 41206f1973ec29eb 129061ce491b9036 ae71662e1cd76c33 4f5b402688684e75 2fda907fd6c2e822 32bcc7672238130c 010db753a547e8e0 272fb9d939705fa2 102b9907088f7929 21835a80bf8ab16c a8f8e73595795651 a1d3d8698129305c
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 e1a509061db4365e ffb293d728ad43a6 45751ba9f5ef2a7b 5fe9106b02d139f8 8673e52d7a10e87d 3b1daa74cc3b525b 2e07853eb7febd93 95d6e5ef0d0d0024 33de3813f4dac961 1ef0d3d4bf13d4e5 a2e5965b7fb44ba0 ff0fa20dc2ab50f5 adb24f7adbef70ff 88c1ca26292dbdff 1f9673dcc275ea7d a2590b48209b48ee 495994dc327cbdd5 08dbb4a9a6298b6d 627ca4f7dc9fe638 4382906f52eed217 a7805f280da53d7e 5e93a81c94d07a33 6c211b77ebbcc3a0 a37577e9aafbd972 6f9ecabf50905914 7e956132fdb6055d 070b67d8d87a7d16 bc6fe8709b827527 09e9fea66d9b18ed 2408993e3627c6da d7417a1af0d46e1a 7d83d2d84dca235f aee0f2656b11461a bfc753a95fd59109 01adbcca9273cf86 f1a94922489fe1ae 87c862e5fc5c2bd8 1555a20631f724fe 3c6ae3d8e5b6520e 350ae517974d2a2f 56e623d29ce9ff81 5290e2028ca44347 d043d46ead9f9b27 df4cc9d2729061ae b92bb5f2e54134c0 1fb45c931f514f7a 1b9f35bc027398e9 3a311f4fbabf56dc 229b8fbab27964dd
